,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.00025717417399088543,4.346693212047976e-05,0.0005476474761962891,4.2612721899712356e-05,stratified,"OrderedDict([('strategy', 'stratified')])",-13.862943611198908,-15.115080453500742,-13.0222231599391,-14.000082408212917,0.8598907682717134,9,-15.231350303143055,-15.993646841473208,-15.298270891843934,-15.507756012153399,0.3446612006118827,14
1,0.00023031234741210938,1.3185790476453234e-05,0.0005125204722086588,2.5022468759424427e-05,stratified,"OrderedDict([('strategy', 'stratified')])",-14.093992671385553,-16.277778949923878,-14.650001054931487,-15.007257558746971,0.9266264204888305,12,-15.580159852069999,-13.907518992585397,-14.371102959004908,-14.619593934553436,0.7050970074635786,10
2,0.0002273718516031901,8.0882914866714e-06,0.0005206267038981119,1.9296036520724934e-05,stratified,"OrderedDict([('strategy', 'stratified')])",-12.938747370452312,-16.510318649208504,-15.580159852069999,-15.009741957243605,1.5128478180488316,13,-15.347620152785368,-15.066478908634181,-13.791623000980517,-14.735240687466687,0.6770380853284674,11
3,0.00022792816162109375,1.1665468046879832e-05,0.0005096594492594401,2.95063795668495e-05,stratified,"OrderedDict([('strategy', 'stratified')])",-17.097630453811984,-13.0222231599391,-16.045239250639252,-15.388364288130111,1.7273968256727832,14,-15.812699551354623,-16.109542833078088,-15.298270891843934,-15.740171092092217,0.335147553286302,15
4,0.0002238750457763672,9.592212848418307e-06,0.0005402565002441406,3.328708181934012e-05,stratified,"OrderedDict([('strategy', 'stratified')])",-15.711336092692092,-13.952381957077606,-14.417461355646862,-14.693726468472187,0.7441871280003517,10,-14.30119150600455,-15.993646841473206,-14.486998950609786,-14.927279099362515,0.7578417700630184,12
5,0.00028936068216959637,5.118410026881178e-05,0.0006365776062011719,0.00018737708334493495,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
6,0.00025884310404459637,3.094934789762212e-05,0.0005976359049479166,0.00012115548187632591,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
7,0.0002709229787190755,2.8227748437470012e-05,0.0006064573923746744,8.362984573272587e-05,stratified,"OrderedDict([('strategy', 'stratified')])",-16.404483273252037,-14.417461355646862,-16.277778949923878,-15.699907859607592,0.9083007112288807,15,-14.417461355646862,-15.414166883448816,-15.414166883448816,-15.081931707514832,0.46985149170325224,13
8,0.00026043256123860675,3.7843937721418855e-05,0.0005463759104410807,4.6134799361028754e-05,most_frequent,"OrderedDict([('strategy', 'most_frequent')])",-10.628256768585828,-10.464286467808208,-10.696826167092834,-10.596456467828956,0.09756065560124352,8,-10.58055631745052,-10.662431227648804,-10.546535236043926,-10.596507593714417,0.04864019345051213,8
9,0.0004805723826090495,0.0002791018039837504,0.0022910435994466147,0.0023983130042498605,stratified,"OrderedDict([('strategy', 'stratified')])",-13.862943611198906,-16.74285834849313,-14.184921656362237,-14.930241205351424,1.2884365580294588,11,-15.696429701712308,-13.096247051351249,-14.950582917029301,-14.581086556697619,1.0932011477105317,9
10,0.000284115473429362,6.385356199867706e-05,0.0005749066670735677,5.2831582224904325e-05,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
11,0.000518957773844401,0.0003513668863211368,0.0019331773122151692,0.001957929317269095,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
12,0.0002719561258951823,5.805882680796068e-05,0.0005892117818196615,6.658279630984155e-05,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
13,0.0007484753926595052,0.0002854571972837445,0.0026036898295084634,0.0013597057111201813,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
14,0.0002676645914713542,5.440867761032258e-05,0.0005862712860107422,7.063979456998545e-05,uniform,"OrderedDict([('strategy', 'uniform')])",-0.6931471805599454,-0.6931471805599453,-0.6931471805599453,-0.6931471805599454,9.064933036736789e-17,1,-0.6931471805599453,-0.6931471805599454,-0.6931471805599454,-0.6931471805599454,6.409875621278546e-17,1
